Index,Form,Tense,Voice,Predicate,V POS,Head Word,Head Word POS,Phrase type,Path,Relative Position,Target
267,p,n,a,waiving,VBG,It,PRP,NP-SBJ,VBG1VP1VP1VP1VP1S0NP-SBJ0,0,ARG0
268,p,n,a,waiving,VBG,currently,RB,ADVP-TMP,VBG1VP1VP1VP0ADVP-TMP0,0,ARGM-TMP
269,p,n,a,waiving,VBG,management,NN,NP,VBG1VP0NP0,1,ARG1
270,p,n,a,waiving,VBG,which,WDT,SBAR-ADV,VBG1VP1VP0SBAR-ADV0,1,ARGM-ADV
271,v,n,a,boosts,VBZ,which,WDT,WHNP-9,VBZ1VP1S1SBAR-ADV0WHNP-90,0,ARG0
272,v,n,a,boosts,VBZ,its,PRP$,NP,VBZ1VP0NP0,1,ARG1
273,v,p,a,fell,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
274,v,p,a,fell,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
275,v,p,a,fell,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
276,v,p,a,slid,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
277,v,p,a,slid,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
278,v,p,a,slid,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
279,v,n,a,holds,VBZ,W.R.,NNP,NP,VBZ1VP1S1SBAR1NP0NP0,0,ARG0
280,v,n,a,holds,VBZ,a,DT,NP,VBZ1VP0NP0,1,ARG1
281,p,p,p,elected,VBN,J.P.,NNP,NP-SBJ-10,VBN1VP1VP1S0NP-SBJ-100,0,ARG1
282,p,p,p,elected,VBN,a,DT,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
283,v,n,a,succeeds,VBZ,He,PRP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
284,v,n,a,succeeds,VBZ,Terrence,NNP,NP,VBZ1VP0NP0,1,ARG1
285,v,p,a,resigned,VBD,formerly,RB,NP,VBD1VP1S1SBAR1NP0NP0,0,ARG0
286,v,n,a,holds,VBZ,W.R.,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
287,v,n,a,holds,VBZ,three,CD,NP,VBZ1VP0NP0,1,ARG1
288,v,p,a,said,VBD,Pacific,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
289,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
290,v,p,a,approved,VBD,shareholders,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
291,v,p,a,approved,VBD,its,PRP$,NP,VBD1VP0NP0,1,ARG1
292,p,-,a,holding,VBG,thrift,NN,NN,VBG1NP-SBJ0NN0,0,ARG1
293,p,-,a,holding,VBG,company,NN,NN,VBG1NP-SBJ0NN0,1,ARG0
294,v,p,a,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
295,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
296,v,n,a,expects,VBZ,it,PRP,NP-SBJ-1,VBZ1VP1S0NP-SBJ-10,0,ARG0
297,v,n,a,expects,VBZ,*-1,-NONE-,S,VBZ1VP0S0,1,ARG1
298,i,-,a,obtain,VB,it,PRP,NP-SBJ-1,VB1VP1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
299,i,-,a,obtain,VB,regulatory,JJ,NP,VB1VP0NP0,1,ARG1
300,i,-,a,obtain,VB,by,IN,PP-TMP,VB1VP1VP0PP-TMP0,1,ARGM-TMP
301,i,-,a,complete,VB,it,PRP,NP-SBJ-1,VB1VP1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
302,i,-,a,complete,VB,the,DT,NP,VB1VP0NP0,1,ARG1
303,i,-,a,complete,VB,by,IN,PP-TMP,VB1VP1VP0PP-TMP0,1,ARGM-TMP
304,v,p,a,said,VBD,McDermott,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
305,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
306,v,p,a,completed,VBD,its,PRP$,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
307,v,p,a,completed,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
308,p,-,a,holding,VBG,company,NN,NN,VBG1NP0NN0,1,ARG0
309,p,-,p,based,VBN,Bailey,NNP,NP,VBN1VP1NP-SBJ0NP0,0,ARG1
310,p,-,p,based,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1,ARGM-LOC
311,v,n,a,makes,VBZ,Bailey,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
312,v,n,a,makes,VBZ,computerized,JJ,NP,VBZ1VP0NP0,1,ARG1
313,v,n,a,employs,VBZ,It,PRP,NP-SBJ,VBZ1VP1VP1S0NP-SBJ0,0,ARG0
314,v,n,a,employs,VBZ,"2,700",CD,NP,VBZ1VP0NP0,1,ARG1
315,v,n,a,has,VBZ,It,PRP,NP-SBJ,VBZ1VP1VP1S0NP-SBJ0,0,ARG0
316,v,n,a,has,VBZ,annual,JJ,NP,VBZ1VP0NP0,1,ARG1
317,v,p,a,suspended,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
318,v,p,a,suspended,VBD,sales,NNS,NP,VBD1VP0NP0,1,ARG1
319,v,p,a,suspended,VBD,because,IN,SBAR-PRP,VBD1VP0SBAR-PRP0,1,ARGM-CAU
320,p,n,a,lifted,VBN,Congress,NNP,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0,ARG0
321,p,n,a,lifted,VBN,n't,RB,RB,VBN1VP1VP0RB0,0,ARGM-NEG
322,p,n,a,lifted,VBN,the,DT,NP,VBN1VP0NP0,1,ARG1
323,v,n,a,acts,VBZ,Congress,NNP,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
324,v,n,a,has,VBZ,Until,IN,SBAR-TMP,VBZ1VP1S-TPC-10SBAR-TMP0,0,ARGM-TMP
325,v,n,a,has,VBZ,the,DT,NP-SBJ,VBZ1VP1S-TPC-10NP-SBJ0,0,ARG0
326,v,n,a,has,VBZ,n't,RB,RB,VBZ1VP0RB0,1,ARGM-NEG
327,v,n,a,has,VBZ,any,DT,NP,VBZ1VP0NP0,1,ARG1
328,i,-,a,issue,VB,the,DT,NP-SBJ,VB1VP1VP1S1NP1VP1S-TPC-10NP-SBJ0,0,ARG0
329,i,-,a,issue,VB,new,JJ,NP,VB1VP0NP0,1,ARG1
330,v,p,a,said,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
331,v,p,a,said,VBD,Until,IN,S-TPC-1,VBD1VP1S0S-TPC-10,0,ARG1
332,v,p,a,dropped,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
333,v,p,a,dropped,VBD,at,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
334,v,p,a,dropped,VBD,Tuesday,NNP,NP-TMP,VBD1VP0NP-TMP0,1,ARGM-TMP
335,v,p,a,dropped,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
336,v,p,a,dropped,VBD,from,IN,PP-DIR,VBD1VP0PP-DIR0,1,ARG3-from
337,i,-,a,lift,VB,Legislation,NN,NP,VB1VP1VP1S1SBAR1NP-SBJ-110NP0,0,ARG0
338,i,-,a,lift,VB,the,DT,NP,VB1VP0NP0,1,ARG1
339,p,n,p,ensnarled,VBN,Legislation,NN,NP-SBJ-11,VBN1VP1VP1S0NP-SBJ-110,0,ARG1
340,p,n,p,ensnarled,VBN,in,IN,PP-LOC-CLR,VBN1VP0PP-LOC-CLR0,1,ARG2-in
341,g,-,-,cutting,VBG,*,-NONE-,-NONE-,VBG1VP1S-NOM0NP-SBJ0-NONE-0,0,ARG0
342,g,-,-,cutting,VBG,capital-gains,JJ,NP,VBG1VP0NP0,1,ARG1
343,p,n,a,voted,VBN,The,DT,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG0
344,p,n,a,voted,VBN,*-1,-NONE-,S,VBN1VP0S0,1,ARG1
345,i,-,a,raise,VB,The,DT,NP-SBJ-1,VB1VP1VP1S1VP1VP1S0NP-SBJ-10,0,ARG0
346,i,-,a,raise,VB,the,DT,NP,VB1VP0NP0,1,ARG1
347,i,-,a,raise,VB,to,TO,PP-DIR,VB1VP0PP-DIR0,1,ARG4-to
348,p,n,p,expected,VBN,the,DT,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
349,p,n,p,expected,VBN,n't,RB,RB,VBN1VP1VP0RB0,0,ARGM-NEG
350,i,-,a,act,VB,the,DT,NP-SBJ-2,VB1VP1VP1S1VP1VP1S0NP-SBJ-20,0,ARG0
351,i,-,a,act,VB,until,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
352,i,-,a,act,VB,at,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
353,v,p,a,said,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
354,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
355,v,f,a,default,VB,the,DT,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG1
356,v,f,a,default,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
357,v,f,a,default,VB,on,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
358,v,f,a,default,VB,if,IN,SBAR-ADV,VB1VP0SBAR-ADV0,1,ARGM-ADV
359,-,-,a,act,VB,Congress,NNP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
360,-,-,a,act,VB,n't,RB,RB,VB1VP1VP0RB0,0,ARGM-NEG
361,-,-,a,act,VB,by,IN,PP-TMP,VB1VP0PP-TMP0,1,ARGM-TMP
362,p,p,p,named,VBN,Clark,NNP,NP-SBJ-12,VBN1VP1VP1S0NP-SBJ-120,0,ARG1
363,p,p,p,named,VBN,senior,JJ,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
364,v,f,a,oversee,VB,In,IN,PP-LOC,VB1VP1VP1S0PP-LOC0,0,ARGM-LOC
365,v,f,a,oversee,VB,he,PRP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
366,v,f,a,oversee,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
367,v,f,a,oversee,VB,Mazda,NNP,NP,VB1VP0NP0,1,ARG1
368,p,-,a,manufacturing,VBG,titans,NNS,NNS,VBG1NP-SBJ0NNS0,1,ARG0
369,v,n,a,jet,VBP,When,WRB,SBAR-TMP,VBP1VP1S0SBAR-TMP0,0,ARGM-TMP
370,v,n,a,jet,VBP,the,DT,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG1
371,v,n,a,jet,VBP,typically,RB,ADVP,VBP1VP1S0ADVP0,0,ARGM-TMP
372,v,n,a,jet,VBP,to,TO,PP-DIR,VBP1VP0PP-DIR0,1,ARG2-to
373,v,p,a,settled,VBD,The,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
374,v,p,a,settled,VBD,on,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-on
375,v,p,a,settled,VBD,for,IN,PP,VBD1VP0PP0,1,ARG2-for
376,v,p,a,decided,VBD,And,CC,CC,VBD1VP1S0CC0,0,ARGM-DIS
377,v,p,a,decided,VBD,the,DT,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG0
378,v,p,a,decided,VBD,*-1,-NONE-,S,VBD1VP0S0,1,ARG1
379,i,-,a,treat,VB,the,DT,NP-SBJ-1,VB1VP1VP1S1VP1S0NP-SBJ-10,0,ARG0
380,i,-,a,treat,VB,its,PRP$,NP,VB1VP0NP0,1,ARG1
381,i,-,a,treat,VB,more,JJR,ADVP,VB1VP0PP-MNR0PP0ADVP0,1,ARGM-MNR
382,i,-,a,treat,VB,royalty,NN,NP,VB1VP0PP-MNR0PP0NP0,1,ARG2-like
383,i,-,a,prove,VB,*,-NONE-,-NONE-,VB1VP1VP1S0NP-SBJ0-NONE-0,0,ARG0
384,i,-,a,prove,VB,to,TO,PP-CLR,VB1VP0PP-CLR0,1,ARG2-to
385,i,-,a,prove,VB,that,IN,SBAR,VB1VP0SBAR0,1,ARG1
386,i,-,a,expand,VB,a,DT,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG1
387,p,-,a,receiving,VBG,end,NN,NN,VBG1NP0NN0,1,ARG0
388,v,p,a,joined,VBD,For,IN,PP,VBD1VP1S0PP0,0,ARGM-DIS
389,v,p,a,joined,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
390,v,p,a,joined,VBD,Mayor,NNP,NP,VBD1VP0NP0,1,ARG1
391,v,p,a,joined,VBD,for,IN,PP,VBD1VP0PP0,1,ARGM-PNC
392,v,p,a,followed,VBD,Champagne,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
393,v,p,a,raced,VBD,The,DT,NP-TMP,VBD1VP1S0NP-TMP0,0,ARGM-TMP
394,v,p,a,raced,VBD,with,IN,PP,VBD1VP1S0PP0,0,ARGM-MNR
395,v,p,a,raced,VBD,busloads,NNS,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG0
396,v,p,a,raced,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG1-to
397,v,p,a,raced,VBD,*-1,-NONE-,S-ADV,VBD1VP0S-ADV0,1,ARGM-ADV
398,-,-,a,make,VB,The,DT,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
399,-,-,a,make,VB,could,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
400,-,-,a,make,VB,n't,RB,RB,VB1VP1VP0RB0,0,ARGM-NEG
401,v,p,a,welcomed,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
402,v,p,a,welcomed,VBD,the,DT,NP,VBD1VP0NP0,1,ARG1
403,p,p,p,held,VBN,A,DT,NP-SBJ-1,VBN1VP1VP1S0NP-SBJ-10,0,ARG1
404,p,p,p,held,VBN,in,IN,PP-LOC,VBN1VP0PP-LOC0,1,ARGM-LOC
405,p,n,p,banned,VBN,food,NN,NP-SBJ-2,VBN1VP1VP1S0NP-SBJ-20,0,ARG1
406,p,n,p,banned,VBN,to,TO,PP,VBN1VP0PP0,1,ARG2-to
407,p,n,p,banned,VBN,the,DT,NP,VBN1VP1VP1S1SBAR-LOC1VP0PP-LOC0NP0,0,ARGM-LOC
408,v,p,a,hauled,VBD,Then,RB,ADVP-TMP,VBD1VP1S0ADVP-TMP0,0,ARGM-TMP
409,v,p,a,hauled,VBD,in,IN,PP,VBD1VP1S0PP0,0,ARGM-MNR
410,v,p,a,hauled,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
411,v,p,a,hauled,VBD,four,CD,NP,VBD1VP0NP0,1,ARG1
412,v,p,a,hauled,VBD,for,IN,PP-PRP,VBD1VP0PP-PRP0,1,ARGM-PNC
413,v,p,a,drooled,VBD,After,IN,PP-TMP,VBD1VP1S0PP-TMP0,0,ARGM-TMP
414,v,p,a,drooled,VBD,Fortune,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
415,v,p,a,drooled,VBD,like,IN,PP-MNR,VBD1VP0PP-MNR0,1,ARGM-MNR
416,v,p,a,drooled,VBD,over,IN,PP-CLR,VBD1VP0PP-CLR0,1,ARG1-over
417,v,p,a,pointed,VBD,*-1,-NONE-,S-ADV,VBD1VP1S0S-ADV0,0,ARGM-ADV
418,v,p,a,pointed,VBD,the,DT,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG0
419,v,p,a,pointed,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
420,v,p,a,had,VBD,they,PRP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
421,v,p,a,had,VBD,still,RB,ADVP,VBD1VP1S0ADVP0,0,ARGM-TMP
422,v,p,a,had,VBD,space,NN,NP,VBD1VP0NP0,1,ARG1
423,v,p,a,squeezed,VBD,Back,RB,ADVP-LOC,VBD1VP1S0ADVP-LOC0,0,ARGM-LOC
424,v,p,a,squeezed,VBD,the,DT,NP-SBJ-1,VBD1VP1S0NP-SBJ-10,0,ARG0
425,v,p,a,squeezed,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
426,v,p,a,squeezed,VBD,before,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
427,g,-,-,boarding,VBG,the,DT,NP-SBJ-1,VBG1VP1S-NOM1PP-TMP1VP1S0NP-SBJ-10,0,ARG0
428,g,-,-,boarding,VBG,the,DT,NP,VBG1VP0NP0,1,ARG1
429,g,-,-,boarding,VBG,again,RB,ADVP,VBG1VP0ADVP0,1,ARGM-TMP
430,p,-,p,renovated,VBN,Indiana,NNP,NNP,VBN1NP0NNP0,1,ARG1
431,v,p,a,fed,VBD,Under,IN,PP-LOC,VBD1VP1S0PP-LOC0,0,ARGM-LOC
432,v,p,a,fed,VBD,nine,CD,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
433,v,p,a,fed,VBD,them,PRP,NP,VBD1VP0NP0,1,ARG2
434,v,p,a,fed,VBD,Indiana,NNP,NP,VBD1VP0NP0,1,ARG1
435,p,-,a,Knowing,VBG,a,DT,NP,VBG1VP0NP0,1,ARG1
436,p,-,a,Knowing,VBG,when,WRB,SBAR-TMP,VBG1VP0SBAR-TMP0,1,ARGM-TMP
437,p,-,a,Knowing,VBG,*-2,-NONE-,-NONE-,VBG1VP1S-ADV0NP-SBJ0-NONE-0,0,ARG0
438,v,n,a,eat,VBP,they,PRP,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
439,v,n,a,eat,VBP,one,CD,NP,VBP1VP0NP0,1,ARG1
440,v,n,a,eat,VBP,when,WRB,WHADVP-1,VBP1VP1S1SBAR-TMP0WHADVP-10,0,ARGM-TMP
441,v,p,a,gave,VBD,*-2,-NONE-,S-ADV,VBD1VP1S0S-ADV0,0,ARGM-ADV
442,v,p,a,gave,VBD,the,DT,NP-SBJ-2,VBD1VP1S0NP-SBJ-20,0,ARG0
443,v,p,a,gave,VBD,the,DT,NP,VBD1VP0NP0,1,ARG2
444,v,p,a,gave,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
445,v,n,a,say,VBP,More,JJR,NP-SBJ,VBP1VP1S0NP-SBJ0,0,ARG0
446,v,n,a,say,VBP,0,-NONE-,SBAR,VBP1VP0SBAR0,1,ARG1
447,v,n,a,tempts,VBZ,the,DT,NP-SBJ,VBZ1VP1S0NP-SBJ0,0,ARG0
448,v,n,a,tempts,VBZ,them,PRP,NP-SBJ,VBZ1VP0S0NP-SBJ0,1,ARG1
449,v,n,a,tempts,VBZ,to,TO,VP,VBZ1VP0S0VP0,1,ARG3
450,i,-,a,return,VB,them,PRP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG1
451,i,-,a,return,VB,to,TO,PP-DIR,VB1VP0PP-DIR0,1,ARG4-to
452,i,-,a,return,VB,for,IN,PP-PRP,VB1VP0PP-PRP0,1,ARGM-PNC
453,p,n,a,looking,VBG,But,CC,CC,VBG1VP1VP1S0CC0,0,ARGM-DIS
454,p,n,a,looking,VBG,for,IN,PP-TMP,VBG1VP1VP1S0PP-TMP0,0,ARGM-TMP
455,p,n,a,looking,VBG,they,PRP,NP-SBJ,VBG1VP1VP1S0NP-SBJ0,0,ARG0
456,p,n,a,looking,VBG,to,TO,PP-CLR,VBG1VP0PP-CLR0,1,ARG1-to
457,v,p,a,registered,VBD,South,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
458,v,p,a,registered,VBD,a,DT,NP,VBD1VP0NP0,1,ARG1
459,v,p,a,registered,VBD,in,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
460,v,p,a,registered,VBD,*,-NONE-,S-ADV,VBD1VP0S-ADV0,1,ARGM-ADV
461,v,p,a,registered,VBD,according,VBG,PP,VBD1VP0PP0,1,ARGM-ADV
462,p,-,a,reflecting,VBG,a,DT,NP,VBG1VP1S-ADV1VP0NP0,0,ARG2
463,p,-,a,reflecting,VBG,the,DT,NP,VBG1VP0NP0,1,ARG1
464,p,-,p,released,VBD,government,NN,NP,VBD1VP1NP0NP0,0,ARG1
465,p,-,p,released,VBD,Wednesday,NNP,NP-TMP,VBD1VP0NP-TMP0,1,ARGM-TMP
466,v,p,a,showed,VBD,Preliminary,JJ,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
467,v,p,a,showed,VBD,another,DT,NP,VBD1VP0NP0,1,ARG1
468,v,p,a,showed,VBD,*,-NONE-,S-ADV,VBD1VP0S-ADV0,1,ARGM-ADV
469,p,-,a,casting,VBG,another,DT,NP,VBG1VP1S-ADV1VP0NP0,0,ARG0
470,p,-,a,casting,VBG,a,DT,NP,VBG1VP0NP0,1,ARG1
471,p,-,a,casting,VBG,on,IN,PP-CLR,VBG1VP0PP-CLR0,1,ARG2-on
472,v,p,a,stood,VBD,Exports,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
473,v,p,a,stood,VBD,at,IN,PP-LOC-CLR,VBD1VP0PP-LOC-CLR0,1,ARG2-at
474,v,p,a,stood,VBD,while,IN,SBAR-TMP,VBD1VP0SBAR-TMP0,1,ARGM-TMP
475,v,p,a,increased,VBD,imports,NNS,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
476,v,p,a,increased,VBD,sharply,RB,ADVP-MNR,VBD1VP0ADVP-MNR0,1,ARG2-MNR
477,v,p,a,increased,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
478,v,p,a,began,VBD,South,NNP,NP,VBD1VP1S1SBAR1NP-SBJ0NP0,0,ARG1
479,v,p,a,began,VBD,in,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARGM-TMP
480,v,p,a,stopped,VBD,South,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
481,v,p,a,stopped,VBD,this,DT,NP-TMP,VBD1VP0NP-TMP0,1,ARGM-TMP
482,v,p,a,stopped,VBD,because,IN,PP-PRP,VBD1VP0PP-PRP0,1,ARGM-CAU
483,p,-,p,prolonged,VBN,labor,NN,NN,VBN1NP0NN0,1,ARG1
484,v,p,a,said,VBD,Government,NN,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
485,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
486,-,-,a,remain,VB,exports,NNS,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG1
487,-,-,a,remain,VB,would,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
488,-,-,a,remain,VB,under,IN,PP-LOC,VB1VP0PP-LOC0,1,ARG3-under
489,p,n,a,recorded,VBN,Despite,IN,PP,VBN1VP1VP1S0PP0,0,ARGM-ADV
490,p,n,a,recorded,VBN,South,NNP,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0,ARG0
491,p,n,a,recorded,VBN,a,DT,NP,VBN1VP0NP0,1,ARG1
492,p,n,a,recorded,VBN,so,IN,ADVP-TMP,VBN1VP0ADVP-TMP0,1,ARGM-TMP
493,p,n,a,recorded,VBN,this,DT,NP-TMP,VBN1VP0NP-TMP0,1,ARGM-TMP
494,p,-,p,accumulated,VBN,exports,NNS,NNS,VBN1NP-SBJ0NNS0,1,ARG1
495,v,p,a,increased,VBD,From,IN,PP-TMP,VBD1VP1S0PP-TMP0,0,ARGM-TMP
496,v,p,a,increased,VBD,the,DT,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG1
497,v,p,a,increased,VBD,4,CD,NP-EXT,VBD1VP0NP-EXT0,1,ARG2-EXT
498,v,p,a,increased,VBD,from,IN,PP-TMP,VBD1VP0PP-TMP0,1,ARG3-from
499,v,p,a,increased,VBD,to,TO,PP-DIR,VBD1VP0PP-DIR0,1,ARG4-to
500,p,-,a,trying,VBG,Newsweek,NNP,NP-SBJ-1,VBG1VP1S1S0NP-SBJ-10,0,ARG0
501,p,-,a,trying,VBG,*-2,-NONE-,S,VBG1VP0S0,1,ARG1
502,i,-,a,keep,VB,Newsweek,NNP,NP-SBJ-1,VB1VP1VP1S1VP1S1S0NP-SBJ-10,0,ARG0
503,i,-,a,keep,VB,pace,NN,NP-CLR,VB1VP0NP-CLR0,1,ARG1
504,i,-,a,keep,VB,with,IN,PP-CLR,VB1VP0PP-CLR0,1,ARG2-with
505,v,p,a,announced,VBD,Newsweek,NNP,NP-SBJ-1,VBD1VP1VP1S0NP-SBJ-10,0,ARG0
506,v,p,a,announced,VBD,*-1,-NONE-,S,VBD1VP1VP1S0S0,0,ARGM-ADV
507,v,p,a,announced,VBD,new,JJ,NP,VBD1VP0NP0,1,ARG1
508,v,p,a,said,VBD,Newsweek,NNP,NP-SBJ-1,VBD1VP1VP1S0NP-SBJ-10,0,ARG0
509,v,p,a,said,VBD,*-1,-NONE-,S,VBD1VP1VP1S0S0,0,ARGM-ADV
510,v,p,a,said,VBD,0,-NONE-,SBAR,VBD1VP0SBAR0,1,ARG1
511,v,f,a,introduce,VB,it,PRP,NP-SBJ,VB1VP1VP1S0NP-SBJ0,0,ARG0
512,v,f,a,introduce,VB,will,MD,MD,VB1VP1VP0MD0,0,ARGM-MOD
513,v,f,a,introduce,VB,a,DT,NP,VB1VP0NP0,1,ARG1
514,p,n,a,offered,VBN,the,DT,NP-SBJ,VBN1VP1VP1S0NP-SBJ0,0,ARG0
515,p,n,a,offered,VBN,advertisers,NNS,NP,VBN1VP0NP0,1,ARG3
516,p,n,a,offered,VBN,the,DT,NP,VBN1VP1VP1S1SBAR1NP-PRD0NP0,0,ARG1
517,p,n,a,offered,VBN,in,IN,PP-TMP,VBN1VP0PP-TMP0,1,ARGM-TMP
518,v,n,a,give,VBP,Plans,NNS,NP,VBP1VP1S1SBAR1NP-SBJ0NP0,0,ARG0
519,v,n,a,give,VBP,advertisers,NNS,NP,VBP1VP0NP0,1,ARG2
520,v,n,a,give,VBP,discounts,NNS,NP,VBP1VP0NP0,1,ARG1
521,g,-,-,maintaining,VBG,advertisers,NNS,NP,VBG1VP1S-NOM1PP1NP1VP0NP0,0,ARG0
522,g,-,-,maintaining,VBG,ad,NN,NP,VBG1VP0NP0,1,ARG1
523,g,-,-,increasing,VBG,advertisers,NNS,NP,VBG1VP1S-NOM1PP1NP1VP0NP0,0,ARG0
524,g,-,-,increasing,VBG,ad,NN,NP,VBG1VP0NP0,1,ARG1
525,p,n,a,become,VBN,Plans,NNS,NP-SBJ,VBN1VP1VP1VP1S0NP-SBJ0,0,ARG1
526,p,n,a,become,VBN,permanent,JJ,NP-PRD,VBN1VP0NP-PRD0,1,ARG2
527,v,n,a,underscore,VBP,Plans,NNS,NP-SBJ,VBP1VP1VP1S0NP-SBJ0,0,ARG0
528,v,n,a,underscore,VBP,the,DT,NP,VBP1VP0NP0,1,ARG1
529,p,-,p,named,VBN,recently,RB,ADVP-TMP,VBN1VP1RRC0ADVP-TMP0,0,ARGM-TMP
530,p,-,p,named,VBN,Alan,NNP,NP,VBN1VP1RRC1NP-SBJ0NP0,0,ARG1
531,p,-,p,named,VBN,Newsweek,NNP,NP-PRD,VBN1VP0S0NP-PRD0,1,ARG2
532,v,p,a,said,VBD,Alan,NNP,NP-SBJ,VBD1VP1S0NP-SBJ0,0,ARG0
